naam,invalshoeken,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,fotocontrole CP,fotocontrole,beelden klaar,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
Ianthe,Italiaans postmodernisme,1997-0037_2-2,niet-publiek,ok,,,,ok,1997-0037_2-2,"Cibic, Aldo*Standard",ok,Aldo Cibic,ok 2023-07-07,nvt,,
Ianthe,Italiaans postmodernisme,2626,publiek,ok,,,,ok,2626,"Du Pasquier, Nathalie*Memphis",ok,Nathalie Du Pasquier,ok 2022-05-09,ok 2022-05-09,,
Ianthe/Eva,Italiaans postmodernisme,1988-0028,publiek,ok,,,ok,ok,1988-0028,"Mendini, Alessandro*De Vynck, Elisa*Stevens, Agnes",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,JA
Ianthe,Italiaans postmodernisme,1988-0094,publiek,ok,,,,ok,1988-0094$2,"Mendini, Alessandro*Studio Alchimia",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe,Italiaans postmodernisme,1989-0070,publiek,ok,,,foto nemen,x,,"Mendini, Alessandro*Studio Alchimia",ok,Alessandro Mendini,,,,
Ianthe,Italiaans postmodernisme,1991-0079,publiek,ok,,,,ok,1991-0079$1,"Mendini, Alessandro*Zanotta",ok,Alessandro Mendini,ok 2022-11-07,ok 2022-11-07,,
Ianthe,Italiaans postmodernisme,1992-0188,publiek,ok,,,,ok,1992-0188$1,"Mendini, Alessandro*Studio Alchimia*Assur Carpets",ok,Alessandro Mendini,ok 2022-10-13,ok 2022-10-13,,
Ianthe,Italiaans postmodernisme,1997-0025,publiek,ok,,,,ok,1997-0025,"Mendini, Alessandro*Mastrangelo - Milan Furniture",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,
Ianthe/Eva,Italiaans postmodernisme,1997-0045,publiek,ok,,,ok,ok,1997-0045,"Mendini, Alessandro*Marzano, Stefano*Alessi*Philips",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,JA
Ianthe/Eva,Italiaans postmodernisme,1997-0046,publiek,ok,,,ok,ok,1997-0046,"Mendini, Alessandro*Marzano, Stefano*Alessi*Philips",ok,Alessandro Mendini,ok 2022-04-08,ok 2022-04-08,,JA
